Time (s),Ch1,Ch2
-0.001956146,2.483725073,2.61149271
-0.001956016,2.476527542,2.619606527
-0.001955886,2.482825381,2.616901921
-0.001955756,2.479226616,2.625917274
-0.001955626,2.470229703,2.614197316
-0.001955496,2.472029085,2.620508062
-0.001955366,2.470229703,2.616000386
-0.001955236,2.472029085,2.617803457
-0.001955106,2.467530629,2.615098851
-0.001954976,2.469330011,2.604280428
-0.001954846,2.462132481,2.61329578
-0.001954716,2.46123279,2.617803457
-0.001954586,2.460333098,2.612394245
-0.001954456,2.465731246,2.61149271
-0.001954326,2.463931864,2.61149271
-0.001954196,2.456734333,2.609689639
-0.001954066,2.454035259,2.609689639
-0.001953936,2.457634024,2.615098851
-0.001953806,2.45493495,2.617803457
-0.001953676,2.453135568,2.619606527
-0.001953546,2.454035259,2.617803457
-0.001953416,2.448637111,2.612394245
-0.001953286,2.449536803,2.61329578
-0.001953156,2.450436494,2.618704992
-0.001953026,2.446837729,2.609689639
-0.001952896,2.441439581,2.612394245
-0.001952766,2.436941124,2.617803457
-0.001952636,2.440539889,2.619606527
-0.001952506,2.429743594,2.614197316
-0.001952376,2.429743594,2.615098851
-0.001952246,2.436941124,2.606985034
-0.001952116,2.431542976,2.618704992
-0.001951986,2.435141741,2.616901921
-0.001951856,2.428843902,2.615098851
-0.001951726,2.429743594,2.621409598
-0.001951596,2.424345446,2.616000386
-0.001951466,2.426144828,2.61329578
-0.001951336,2.425245137,2.621409598
-0.001951206,2.430643285,2.616901921
-0.001951076,2.424345446,2.618704992
-0.001950946,2.414448841,2.625917274
-0.001950816,2.414448841,2.625015739
-0.001950686,2.423445754,2.625917274
-0.001950556,2.422546063,2.620508062
-0.001950426,2.418047606,2.624114203
-0.001950296,2.41354915,2.616000386
-0.001950166,2.42074668,2.625015739
-0.001950036,2.414448841,2.618704992
-0.001949906,2.417147915,2.622311133
-0.001949776,2.40005378,2.623212668
-0.001949646,2.406351619,2.625917274
-0.001949516,2.408151002,2.624114203
-0.001949386,2.404552237,2.619606527
-0.001949256,2.404552237,2.620508062
-0.001949126,2.398254397,2.620508062
-0.001948996,2.399154089,2.616901921
-0.001948866,2.395555323,2.612394245
-0.001948736,2.389257484,2.612394245
-0.001948606,2.393755941,2.61329578
-0.001948476,2.389257484,2.615098851
-0.001948346,2.384759028,2.610591175
-0.001948216,2.385658719,2.618704992
-0.001948086,2.38655841,2.61329578
-0.001947956,2.381160262,2.620508062
-0.001947826,2.375762114,2.615098851
-0.001947696,2.376661806,2.622311133
-0.001947566,2.377561497,2.622311133
-0.001947436,2.377561497,2.620508062
-0.001947306,2.381160262,2.616901921
-0.001947176,2.376661806,2.61329578
-0.001947046,2.370363967,2.61149271
-0.001946916,2.36586551,2.622311133
-0.001946786,2.367664893,2.614197316
-0.001946656,2.366765201,2.617803457
-0.001946526,2.36586551,2.619606527
-0.001946396,2.363166436,2.621409598
-0.001946266,2.362266745,2.624114203
-0.001946136,2.364066127,2.616000386
-0.001946006,2.355968905,2.618704992
-0.001945876,2.353269832,2.612394245
-0.001945746,2.357768288,2.616000386
-0.001945616,2.359567671,2.624114203
-0.001945486,2.360467362,2.61149271
-0.001945356,2.355968905,2.61329578
-0.001945226,2.346072301,2.614197316
-0.001945096,2.347871684,2.618704992
-0.001944966,2.346971992,2.625015739
-0.001944836,2.346971992,2.616000386
-0.001944706,2.33887477,2.616000386
-0.001944576,2.346072301,2.614197316
-0.001944446,2.342473536,2.609689639
-0.001944316,2.337075388,2.616000386
-0.001944186,2.33887477,2.619606527
-0.001944056,2.339774462,2.619606527
-0.001943926,2.334376314,2.617803457
-0.001943796,2.329877857,2.617803457
-0.001943666,2.337075388,2.619606527
-0.001943536,2.335276005,2.621409598
-0.001943406,2.332576931,2.614197316
-0.001943276,2.326279092,2.620508062
-0.001943146,2.328978166,2.619606527
-0.001943016,2.325379401,2.619606527
-0.001942886,2.319081561,2.614197316
-0.001942756,2.31818187,2.610591175
-0.001942626,2.328078475,2.617803457
-0.001942496,2.319981253,2.617803457
-0.001942366,2.320880944,2.622311133
-0.001942236,2.322680327,2.624114203
-0.001942106,2.320880944,2.620508062
-0.001941976,2.310084648,2.612394245
-0.001941846,2.301087735,2.616901921
-0.001941716,2.309184957,2.616901921
-0.001941586,2.301087735,2.615098851
-0.001941456,2.3046865,2.609689639
-0.001941326,2.295689587,2.618704992
-0.001941196,2.306485883,2.618704992
-0.001941066,2.301087735,2.619606527
-0.001940936,2.287592365,2.616000386
-0.001940806,2.286692674,2.61329578
-0.001940676,2.294789896,2.616901921
-0.001940546,2.299288352,2.612394245
-0.001940416,2.290291439,2.61329578
-0.001940286,2.292990513,2.617803457
-0.001940156,2.283093909,2.619606527
-0.001940026,2.281294526,2.617803457
-0.001939896,2.282194217,2.616901921
-0.001939766,2.284893291,2.623212668
-0.001939636,2.2839936,2.617803457
-0.001939506,2.283093909,2.619606527
-0.001939376,2.277695761,2.616000386
-0.001939246,2.274996687,2.61329578
-0.001939116,2.2633007,2.612394245
-0.001938986,2.268698848,2.612394245
-0.001938856,2.2633007,2.612394245
-0.001938726,2.2633007,2.609689639
-0.001938596,2.259701935,2.61329578
-0.001938466,2.271397922,2.616000386
-0.001938336,2.266899465,2.610591175
-0.001938206,2.259701935,2.61329578
-0.001938076,2.253404095,2.618704992
-0.001937946,2.256103169,2.616901921
-0.001937816,2.258802243,2.61329578
-0.001937686,2.257002861,2.615098851
-0.001937556,2.241708108,2.61329578
-0.001937426,2.248905639,2.617803457
-0.001937296,2.247106256,2.616901921
-0.001937166,2.248905639,2.619606527
-0.001937036,2.24980533,2.619606527
-0.001936906,2.246206565,2.616901921
-0.001936776,2.234510578,2.617803457
-0.001936646,2.239009034,2.621409598
-0.001936516,2.239009034,2.617803457
-0.001936386,2.232711195,2.606985034
-0.001936256,2.233610886,2.616000386
-0.001936126,2.238109343,2.616901921
-0.001935996,2.235410269,2.618704992
-0.001935866,2.237209652,2.619606527
-0.001935736,2.238109343,2.625917274
-0.001935606,2.228212738,2.623212668
-0.001935476,2.224613973,2.616000386
-0.001935346,2.230911812,2.612394245
-0.001935216,2.225513664,2.621409598
-0.001935086,2.225513664,2.621409598
-0.001934956,2.218316134,2.618704992
-0.001934826,2.22281459,2.612394245
-0.001934696,2.213817677,2.619606527
-0.001934566,2.209319221,2.616000386
-0.001934436,2.210218912,2.62862188
-0.001934306,2.208419529,2.617803457
-0.001934176,2.203921073,2.623212668
-0.001934046,2.208419529,2.619606527
-0.001933916,2.211118603,2.621409598
-0.001933786,2.210218912,2.620508062
-0.001933656,2.201221999,2.616901921
-0.001933526,2.208419529,2.620508062
-0.001933396,2.206620147,2.617803457
-0.001933266,2.199422616,2.617803457
-0.001933136,2.191325394,2.612394245
-0.001933006,2.190425703,2.615098851
-0.001932876,2.194024468,2.612394245
-0.001932746,2.194024468,2.614197316
-0.001932616,2.185027555,2.610591175
-0.001932486,2.185927246,2.616000386
-0.001932356,2.180529099,2.61329578
-0.001932226,2.180529099,2.616000386
-0.001932096,2.18142879,2.616901921
-0.001931966,2.183228173,2.616000386
-0.001931836,2.182328481,2.615098851
-0.001931706,2.185927246,2.612394245
